city,lat,lng,country,population
Velampālaiyam,11.1376,77.3106,India,60296
Laeken,50.8778,4.3558,Belgium,60295
Gubat,12.9189,124.1231,Philippines,60294
Wallasey,53.4158,-3.0233,United Kingdom,60284
Yisuhe,27.7736,112.9558,China,60283
Rosario,16.23,120.48,Philippines,60278
Irvington,40.7243,-74.2317,United States,60268
Belladère,18.8667,-71.7667,Haiti,60239
Mizusawa,39.1438,141.139,Japan,60239
Clay,43.1808,-76.1954,United States,60219
Tirukkoyilūr,11.9675,79.2056,India,60212
San Mateo Ixtatán,15.8333,-91.4833,Guatemala,60203
Parkent,41.2944,69.6764,Uzbekistan,60200
Paracale,14.2797,122.7869,Philippines,60198
Yame,33.2119,130.5578,Japan,60196
Qoorlugud,8.55,46.2333,Somalia,60195
Belebey,54.1,54.1333,Russia,60188
Rāzampeta,14.1954,79.159,India,60188
Kangān,27.8389,52.0619,Iran,60187
Chistopol,55.3647,50.6261,Russia,60172
Kumertau,52.7667,55.7833,Russia,60164
Labinsk,44.6333,40.7333,Russia,60164
Nedumangād,8.6033,77.0028,India,60161
Berrouaghia,36.1333,2.9167,Algeria,60152
Zamość,50.7167,23.2528,Poland,60148
Pasaje,-3.3269,-79.8049,Ecuador,60147
San Mariano,16.98,122.02,Philippines,60124
Nioro,15.1833,-9.55,Mali,60112
Ābyek,36.0411,50.5306,Iran,60107
Samut Sakhon,13.5486,100.2775,Thailand,60103
Mbalmayo,3.5167,11.5,Cameroon,60091
Des Plaines,42.0345,-87.9008,United States,60087
Jinxing,37.9869,106.2027,China,60086
Malay,11.8997,121.9094,Philippines,60077
Souq Sebt Oulad Nemma,32.2948,-6.7007,Morocco,60076
Towada,40.6127,141.2059,Japan,60063
Pirojpur,22.578,89.968,Bangladesh,60056
Manhiça,-25.4,32.8,Mozambique,60031
Horqueta,-23.3442,-57.0436,Paraguay,60031
Floriano,-6.7669,-43.0228,Brazil,60025
São Borja,-28.6602,-56.0038,Brazil,60019
Monte Alegre,-2.0023,-54.0717,Brazil,60016
Sarāvān,27.3708,62.3325,Iran,60014
Tyre,33.2708,35.1961,Lebanon,60000
Faruka,31.8853,72.4153,Pakistan,60000
Buqda Caqable,4.06,45.2575,Somalia,60000
Oodweyne,9.4,45.0667,Somalia,60000
Güigüe,10.0833,-67.7833,Venezuela,60000
Hurlingham,-34.6,-58.6333,Argentina,60000
Kribi,2.935,9.91,Cameroon,60000
Suifenhe,44.4124,131.1518,China,60000
Consuelito,18.56,-69.3,Dominican Republic,60000
Baba Hassen,36.7,2.9667,Algeria,60000
Meskiana,35.6333,7.6667,Algeria,60000
Afula,32.6064,35.2881,Israel,60000
Nahariyya,33.0058,35.0989,Israel,60000
Gunupur,19.08,83.82,India,60000
Mehnājpur,25.6722,83.1181,India,60000
Bayjī,34.9292,43.4931,Iraq,60000
Banane,0.5,38.67,Kenya,60000
Kakuma,3.7167,34.8667,Kenya,60000
Kratie,12.48,106.03,Cambodia,60000
Barneveld,52.1333,5.5833,Netherlands,59992
Hamburg,42.7394,-78.8581,United States,59982
Obando,14.7083,120.9375,Philippines,59978
San Marcos,8.6611,-75.1347,Colombia,59976
Çivril,38.3014,29.7386,Turkey,59967
Bābolsar,36.7006,52.65,Iran,59966
Union,40.6953,-74.2697,United States,59956
Thatri,33.1453,75.7911,India,59955
Urus-Martan,43.1333,45.55,Russia,59954
Rubizhne,49.01,38.3714,Ukraine,59951
Registro,-24.4875,-47.8436,Brazil,59946
Chandralapādu,16.715,80.2089,India,59943
Legnano,45.5781,8.9183,Italy,59941
Loughborough,52.7725,-1.2078,United Kingdom,59932
San Vicente del Raspeig,38.3964,-0.5253,Spain,59928
Ponnūru,16.0667,80.5667,India,59913
West Allis,43.0068,-88.0296,United States,59907
Carrara,44.0792,10.1,Italy,59905
Aïn Touta,35.3833,5.9,Algeria,59904
Arankhola,24.661,90.0884,Bangladesh,59895
Sigaboy,6.6536,126.0717,Philippines,59891
Kathua,32.3694,75.5254,India,59866
Chambéry,45.57,5.9118,France,59856
Ilog,10.03,122.77,Philippines,59855
North Miami,25.9008,-80.1686,United States,59854
Özalp,38.6583,43.9894,Turkey,59851
St. Cloud,28.2363,-81.2779,United States,59851
The Hammocks,25.67,-80.4482,United States,59843
Escada,-8.3592,-35.2236,Brazil,59836
Aranjuez,40.0333,-3.6028,Spain,59833
Blainville,45.67,-73.88,Canada,59819
North Lakhimpur,27.2414,94.1056,India,59814
Fano,43.8333,13.0167,Italy,59785
Andradina,-20.8958,-51.3789,Brazil,59783
Langenfeld,51.1167,6.95,Germany,59783
Skhirate,33.85,-7.03,Morocco,59775
Dongcun,38.28,111.6751,China,59772
Euskirchen,50.6597,6.7917,Germany,59772
Ragay,13.8217,122.7897,Philippines,59770
Khartsyzk,48.0428,38.1425,Ukraine,59763
Cupertino,37.3168,-122.0466,United States,59763
Užice,43.85,19.85,Serbia,59747
Lakhdaria,36.5622,3.5944,Algeria,59746
Taylorsville,40.6569,-111.9493,United States,59729
Vinukonda,16.05,79.75,India,59725
Alexandroúpoli,40.85,25.8667,Greece,59723
Suharekë,42.38,20.8219,Kosovo,59722
Huehuetoca,19.8342,-99.2033,Mexico,59721
Viçosa do Ceará,-3.5667,-41.0833,Brazil,59712
Gohadi,26.4328,78.442,India,59706
Kananya,11.1856,124.5597,Philippines,59696
Greifswald,54.0833,13.3833,Germany,59691
Khagaria,25.5022,86.4671,India,59691
Hardenberg,52.5667,6.6167,Netherlands,59689
Matera,40.6667,16.6,Italy,59685
Petaluma,38.2423,-122.6266,United States,59682
Bougouni,11.4167,-7.4833,Mali,59679
Karamürsel,40.6892,29.615,Turkey,59676
Huajiang,25.7491,105.6063,China,59657
Sanyō-Onoda,34.0031,131.1819,Japan,59648
Aguacatán,15.35,-91.3167,Guatemala,59638
Sennan,34.3628,135.2761,Japan,59634
Guerra,18.55,-69.7,Dominican Republic,59631
Date,37.8191,140.563,Japan,59625
Pāchora,20.67,75.35,India,59609
Ouezzane,34.8,-5.5833,Morocco,59606
Medellin,11.1286,123.9622,Philippines,59605
Maimbung,5.93,121.03,Philippines,59597
Lianzhuangcun,37.1146,115.7594,China,59576
Coroatá,-4.13,-44.1239,Brazil,59566
Limoeiro do Norte,-5.1333,-38.0833,Brazil,59560
Chełm,51.1322,23.4778,Poland,59546
Tiptūr,13.26,76.48,India,59543
Altamira,22.3375,-97.8694,Mexico,59536
Kokomo,40.464,-86.1277,United States,59534
Gopichettipālaiyam,11.4549,77.4365,India,59523
Givatayim,32.0714,34.81,Israel,59518
Santee,32.8554,-116.9851,United States,59497
Alcoy,38.6983,-0.4736,Spain,59493
Itānagar,27.1,93.62,India,59490
Esfarāyen,37.0703,57.5089,Iran,59490
Xo‘jayli Shahri,42.4,59.45,Uzbekistan,59486
Hakkari,37.577,43.739,Turkey,59484
Mérida,38.9,-6.3333,Spain,59461
Wangzhuang,39.8003,116.15,China,59452
Stonecrest,33.6842,-84.1372,United States,59445
Taunton,41.9036,-71.0943,United States,59436
Rzhev,56.25,34.3167,Russia,59422
White Plains,41.022,-73.7547,United States,59421
Montenegro,-29.6889,-51.4608,Brazil,59415
Yara,20.2767,-76.9469,Cuba,59415
Shimotsuke,36.3872,139.8421,Japan,59404
Druzhkivka,48.6214,37.5278,Ukraine,59400
Shirakawa,37.1263,140.2109,Japan,59393
Tomaszów Mazowiecki,51.5167,20.0167,Poland,59388
Los Andes,-32.8333,-70.6167,Chile,59388
Ouinhri,7,2.45,Benin,59381
Morón,22.1108,-78.6278,Cuba,59371
Hua Hin,12.5686,99.9578,Thailand,59369
Stralsund,54.3092,13.0819,Germany,59363
Esperanza,8.68,125.65,Philippines,59353
Koga,33.7333,130.4667,Japan,59349
Aş Şaff,29.5772,31.2906,Egypt,59348
Galátsi,38.0167,23.75,Greece,59345
Kesennuma,38.9081,141.5699,Japan,59341
Garín,-34.4167,-58.75,Argentina,59335
Ruhengeri,-1.5,29.6333,Rwanda,59333
Aleksandrov,56.4,38.7333,Russia,59328
Jōsō,36.0236,139.9938,Japan,59314
Niort,46.3258,-0.4606,France,59309
Alfonso,14.1379,120.8552,Philippines,59306
Zhoujiajing,31.1116,121.0518,China,59300
Gaibandha,25.329,89.5415,Bangladesh,59289
União dos Palmares,-9.1628,-36.0319,Brazil,59280
Hyūga,32.4228,131.6239,Japan,59276
Dhone,15.396,77.872,India,59272
Irosin,12.705,124.0319,Philippines,59267
Neuilly-sur-Seine,48.8881,2.2686,France,59267
Sérres,41.0833,23.55,Greece,59260
Zamora,41.4989,-5.7556,Spain,59259
Irati,-25.4697,-50.6547,Brazil,59250
Gannan,47.9117,123.4978,China,59239
San Francisco,10.65,124.35,Philippines,59236
Trollhättan,58.2828,12.2892,Sweden,59210
Rājgarh,28.64,75.38,India,59193
Kateríni,40.2667,22.5,Greece,59189
San Simon,14.998,120.78,Philippines,59182
Chalkída,38.4625,23.595,Greece,59125
Mansalay,12.5204,121.4385,Philippines,59114
Dāmghān,36.1656,54.3419,Iran,59106
Chichibu,35.9918,139.0855,Japan,59101
Umm al Qaywayn,25.5533,55.5475,United Arab Emirates,59098
Antigua Guatemala,14.5667,-90.7333,Guatemala,59091
Panna,24.27,80.17,India,59091
Palm Beach Gardens,26.8466,-80.1679,United States,59088
Barking,51.54,0.08,United Kingdom,59068
Chivacoa,10.16,-68.9097,Venezuela,59059
Göppingen,48.7025,9.6528,Germany,59053
Constanza,18.91,-70.75,Dominican Republic,59052
Saint-Louis du Sud,18.2667,-73.55,Haiti,59042
Yevlax,40.6172,47.15,Azerbaijan,59036
Mossel Bay,-34.1833,22.1333,South Africa,59031
El Palomar,-34.6167,-58.5833,Argentina,59031
Tahara,34.6688,137.2809,Japan,59015
Upi,7.0106,124.1629,Philippines,59004
Metapán,14.3314,-89.4428,El Salvador,59004
Florida,3.3275,-76.2386,Colombia,58988
Jiguaní,20.3731,-76.4222,Cuba,58982
Petroúpoli,38.0333,23.6833,Greece,58979
Huauchinango,20.1767,-98.0528,Mexico,58957
Kattaqo’rg’on Shahri,39.8989,66.2561,Uzbekistan,58950
Anzio,41.4472,12.6283,Italy,58949
Motril,36.75,-3.5167,Spain,58939
Nirgua,10.0833,-68.6667,Venezuela,58932
Chapel Hill,35.9271,-79.0391,United States,58919
Santa María Chiquimula,15.0292,-91.3294,Guatemala,58918
Cruz Alta,-28.6386,-53.6064,Brazil,58913
Cerro de Pasco,-10.6864,-76.2625,Peru,58899
Xikeng,24.0505,116.8538,China,58890
Lac-Brome,45.2167,-72.5167,Canada,58889
Andoharanofotsy,-18.975,47.5333,Madagascar,58878
Gattaran,18.0611,121.6453,Philippines,58874
Carvajal,9.33,-70.5767,Venezuela,58863
Parobé,-29.6289,-50.835,Brazil,58858
Sidi ech Chahmi,35.6667,-0.5167,Algeria,58857
Zahirābād,17.6814,77.6074,India,58857
Scheveningen,52.1081,4.2731,Netherlands,58850
Roxas,12.58,121.5,Philippines,58849
Wani,20.0556,78.9533,India,58840
Binnāguri,26.7641,89.0558,India,58840
Ban Rangsit,14.0167,100.75,Thailand,58838
Canlaon,10.38,123.2,Philippines,58822
Kalamáta,37.0378,22.1111,Greece,58816
Beccar,-34.4667,-58.5167,Argentina,58811
Jackson,40.098,-74.3578,United States,58793
Manouba,36.8078,10.1011,Tunisia,58792
Upleta,21.73,70.28,India,58775
El Salvador,8.57,124.52,Philippines,58771
Narasapur,16.4361,81.7016,India,58770
Xánthi,41.1333,24.8833,Greece,58760
Chikuma,36.5339,138.12,Japan,58755
Hoboken,40.7452,-74.0281,United States,58754
Kruševac,43.5806,21.3306,Serbia,58745
Pedro Leopoldo,-19.6178,-44.0428,Brazil,58740
Parker,39.5084,-104.7753,United States,58733
Jaguariúna,-22.68,-46.99,Brazil,58722
Blue Springs,39.0124,-94.2721,United States,58720
Calatagan,13.8322,120.6322,Philippines,58719
Baganga,7.5752,126.5585,Philippines,58714
Faenza,44.2856,11.8833,Italy,58710
Viseu,-1.1969,-46.14,Brazil,58692
Izberbash,42.5633,47.8636,Russia,58690
Jovellanos,22.8106,-81.1981,Cuba,58685
Shoreline,47.7564,-122.3426,United States,58673
Dosso,13.0444,3.1947,Niger,58671
Baguinéda,12.6153,-7.7767,Mali,58661
Koja,26.3344,127.8057,Japan,58658
St. Clair Shores,42.4925,-82.8961,United States,58656
Kasungu,-13.0333,33.4833,Malawi,58653
Sonabedha,18.73,82.83,India,58647
Pasrur,32.16,74.4,Pakistan,58644
Wuyang,27.057,108.3959,China,58630
Raharpur,24.8194,88.325,Bangladesh,58624
Edgware,51.6185,-0.2729,United Kingdom,58619
Xinfeng,24.9167,121,Taiwan,58614
Alta Floresta,-9.8861,-56.0872,Brazil,58613
Lytkarino,55.5833,37.9,Russia,58606
Kaş,36.202,29.638,Turkey,58600
Mpondwe,0.04,29.725,Uganda,58600
Tenkodogo,11.7833,-0.3667,Burkina Faso,58600
Horizon West,28.4417,-81.6146,United States,58595
Ōsakasayama,34.5,135.55,Japan,58593
Frutal,-20.0167,-48.9333,Brazil,58588
Pipariā,22.757,78.355,India,58578
San Luis,15.04,120.7919,Philippines,58551
Caltanissetta,37.4903,14.0625,Italy,58532
Gllogovc,42.6236,20.8939,Kosovo,58531
Una,20.82,71.03,India,58528
Balancán,17.8,-91.5333,Mexico,58524
Ibaan,13.8176,121.133,Philippines,58507
Kélibia,36.85,11.1,Tunisia,58491
Sardhana,29.145,77.61,India,58490
São Gabriel,-30.3358,-54.32,Brazil,58487
Hastināpur,29.17,78.02,India,58452
Crotone,39.0833,17.1167,Italy,58445
Ma’erkang,31.9057,102.2065,China,58437
San Pedro,-24.2196,-64.87,Argentina,58430
Tianningcun,30.8938,120.8009,China,58430
Liannong,31.0107,121.0393,China,58429
Liantangcun,22.9517,112.4597,China,58429
Sarcelles,48.9956,2.3808,France,58424
Benevento,41.1333,14.7833,Italy,58418
Qaskeleng,43.2,76.62,Kazakhstan,58418
Trairi,-3.2778,-39.2689,Brazil,58415
Przemyśl,49.7833,22.7667,Poland,58408
Margate,26.2466,-80.2119,United States,58396
Heerhugowaard,52.6667,4.8333,Netherlands,58387
San Fernando,-34.5833,-70.9833,Chile,58367
Littlehampton,50.8094,-0.5409,United Kingdom,58357
Sandīla,27.08,80.52,India,58346
Orland Park,41.6075,-87.8619,United States,58345
Pebane,-17.2667,38.1667,Mozambique,58342
Zengcun,38.2461,114.7394,China,58339
Nyagan,62.1333,65.3833,Russia,58335
Acerra,40.95,14.3667,Italy,58322
Ogōri,33.3964,130.5556,Japan,58322
Limerick,52.6653,-8.6238,Ireland,58319
Punta Alta,-38.88,-62.075,Argentina,58315
Palompon,11.05,124.38,Philippines,58313
Abington,40.1108,-75.1146,United States,58310
Tiruvālūr,10.773,79.637,India,58301
Sucun,31.0554,118.1057,China,58300
Murakami,38.224,139.48,Japan,58300
Nanjian,25.0531,100.5231,China,58291
Capenda Camulemba,-9.4233,18.4328,Angola,58285
Ishikari,43.1667,141.3167,Japan,58284
Antsalova,-18.6667,44.6167,Madagascar,58280
Lambayeque,-6.7,-79.9,Peru,58276
Doetinchem,51.9667,6.3,Netherlands,58270
Le Blanc-Mesnil,48.9387,2.4614,France,58257
Pursat,12.5333,103.9167,Cambodia,58255
Carson City,39.1511,-119.7476,United States,58249
Rass el Djebel,37.215,10.12,Tunisia,58241
Mouscron,50.7333,3.2167,Belgium,58234
Frankfurt (Oder),52.3419,14.5517,Germany,58230
Sillod,20.3,75.65,India,58230
Ruislip,51.576,-0.433,United Kingdom,58217
Mielec,50.2833,21.4333,Poland,58213
Călăraşi,44.2,27.3333,Romania,58211
Savona,44.3081,8.4811,Italy,58194
Naval,11.58,124.45,Philippines,58187
Barotac Nuevo,10.9,122.7,Philippines,58176
Temascalcingo,19.9147,-100.0036,Mexico,58169
Samaná,19.2,-69.3167,Dominican Republic,58156
Chivilcoy,-34.9,-60.0167,Argentina,58152
Tikhvin,59.65,33.5333,Russia,58136
Halesowen,52.4502,-2.0509,United Kingdom,58135
Kitahiroshima,42.9833,141.5667,Japan,58125
Midwest City,35.463,-97.371,United States,58124
Mulbāgal,13.1635,78.3935,India,58123
North Vancouver,49.3202,-123.0699,Canada,58120
Rouissat,31.9167,5.35,Algeria,58112
Bakwa-Kalonji,-4.35,20.72,Congo (Kinshasa),58092
Dapaong,10.8667,0.2,Togo,58071
Maisons-Alfort,48.8058,2.4378,France,58068
Felgueiras,41.3667,-8.2,Portugal,58065
Streatham,51.4279,-0.1235,United Kingdom,58055
Royal Oak,42.5084,-83.1539,United States,58053
Timargara,34.8278,71.8417,Pakistan,58050
Ambahikily,-21.6,43.6667,Madagascar,58027
Chibuto,-24.6833,33.5333,Mozambique,58012
Meleuz,52.95,55.9333,Russia,58004
Masantol,14.9,120.72,Philippines,57990
Tczew,54.0875,18.7972,Poland,57990
Pradera,3.4167,-76.1667,Colombia,57990
Chornomorsk,46.3017,30.6569,Ukraine,57983
Santa Isabel,-23.3158,-46.2208,Brazil,57966
Kawthoung,9.9833,98.55,Burma,57949
Hunsūr,12.3036,76.2927,India,57948
Pānskura,22.417,87.7,India,57932
Nanjakkād,9.2069,76.6319,India,57931
Bowie,38.9549,-76.7406,United States,57922
Kan’onjichō,34.1272,133.6614,Japan,57921
New Corella,7.5866,125.8237,Philippines,57913
Zempoala,19.9153,-98.6689,Mexico,57906
Hameln,52.1,9.3667,Germany,57905
Kolondiéba,11.0833,-6.9,Mali,57898
Allanmyo,19.3783,95.2279,Burma,57897
Cogan,10.58,123.97,Philippines,57897
Aleksin,54.5167,37.1,Russia,57892
Berëzovskiy,56.9,60.8167,Russia,57892
Prokhladnyy,43.75,44.0333,Russia,57883
Oued Lill,36.8333,10.05,Tunisia,57882
Nausori,-18.0244,178.5454,Fiji,57882
Glew,-34.8833,-58.3833,Argentina,57878
Lorient,47.75,-3.36,France,57846
Rāmpur Hat,24.17,87.78,India,57833
Mikhaylovka,50.0667,43.25,Russia,57829
Dumanjog,10.05,123.48,Philippines,57823
Asingan,16.0023,120.6695,Philippines,57811
Sidi Yahya Zaer,33.7105,-6.8831,Morocco,57790
Suileng,47.246,127.106,China,57789
Marano di Napoli,40.9,14.1833,Italy,57777
Orito,0.6661,-76.8708,Colombia,57774
Xiezhou,34.9124,110.8517,China,57773
Royal Tunbridge Wells,51.132,0.263,United Kingdom,57772
Tikhoretsk,45.8667,40.1333,Russia,57771
Živinice,44.45,18.65,Bosnia and Herzegovina,57765
Villejuif,48.7919,2.3636,France,57753
Ávila,40.65,-4.6833,Spain,57741
El Attaf,36.2167,1.6667,Algeria,57737
Hervey Bay,-25.29,152.84,Australia,57722
Kettering,39.6956,-84.1494,United States,57707
Bellevue,48.871,2.385,France,57699
Khandāla,18.7481,73.4072,India,57698
Lonāvale,18.7481,73.4072,India,57698
St. Peters,38.7825,-90.6061,United States,57692
Kosai,34.7184,137.5316,Japan,57682
General Pico,-35.6667,-63.7333,Argentina,57669
Oak Lawn,41.7139,-87.7528,United States,57665
Mogoditshane,-24.6333,25.8667,Botswana,57637
Grand-Popo,6.2833,1.8333,Benin,57636
Pavlovo,55.9653,43.0711,Russia,57630
Salsk,46.4833,41.5333,Russia,57622
Stalowa Wola,50.5667,22.05,Poland,57620
Gengzhuangqiaocun,37.4453,114.9804,China,57617
Towson,39.3944,-76.619,United States,57617
Jerez de García Salinas,22.6481,-102.9903,Mexico,57610
Yanguancun,30.4541,120.5545,China,57609
New Plymouth,-39.0578,174.0742,New Zealand,57600
Camajuaní,22.4678,-79.7239,Cuba,57600
Taquara,-29.6506,-50.7806,Brazil,57584
Bilimora,20.75,72.95,India,57583
Kothāpet,19.3333,79.4833,India,57583
Coconut Creek,26.2803,-80.1842,United States,57574
Maduraivayal,13.0631,80.1719,India,57563
Tōgane,35.5599,140.3661,Japan,57560
Sīra,13.745,76.909,India,57554
Monte Plata,18.81,-69.79,Dominican Republic,57553
Lucan,53.3544,-6.4486,Ireland,57550
Diriamba,11.85,-86.2333,Nicaragua,57542
Milagros,12.2192,123.5089,Philippines,57538
Choshi,35.7346,140.8268,Japan,57533
Santa Maria,6.55,125.47,Philippines,57526
Decatur,34.5731,-86.9905,United States,57525
Krasnotur’insk,59.7733,60.1853,Russia,57514
Palāsa,18.7731,84.4078,India,57507
Tokoname,34.8865,136.8323,Japan,57507
Ejmiatsin,40.1728,44.2925,Armenia,57500
Lenexa,38.9609,-94.8018,United States,57497
Wiwilí,13.6167,-85.8333,Nicaragua,57485
Guarabira,-6.855,-35.49,Brazil,57484
Bartlett,35.2337,-89.8195,United States,57481
Humaitá,-7.5061,-63.0208,Brazil,57473
Santiago Tuxtla,18.4653,-95.3025,Mexico,57466
Cosquín,-31.2436,-64.4653,Argentina,57458
Tanauan,11.12,125.02,Philippines,57455
Chintalapalli,18.331,79.674,India,57434
Meerbusch,51.2667,6.6667,Germany,57422
Lohārdagā,23.4331,84.6799,India,57411
Buluan,6.7154,124.7854,Philippines,57406
Sinop,42.0267,35.1511,Turkey,57404
Cuvelai,-15.6667,15.8,Angola,57398
Ponte Nova,-20.4158,-42.9089,Brazil,57390
Richards Bay,-28.7694,32.0594,South Africa,57387
Acará,-1.9608,-48.1969,Brazil,57385
South Whittier,33.9336,-118.0312,United States,57383
Foumbot,5.5,10.6333,Cameroon,57367
Antsinanantsena,-18.8333,47.55,Madagascar,57363
Huaniu,34.5658,105.8215,China,57360
Qianwu,22.1635,113.2217,China,57352
Nacaome,13.5167,-87.4833,Honduras,57345
Bebington,53.35,-3.003,United Kingdom,57336
Molfetta,41.2,16.6,Italy,57329
Tieshansi,30.2064,114.9003,China,57327
Eldorado,-26.4,-54.6333,Argentina,57323
Mali,23.1338,104.708,China,57320
Roermond,51.2,5.9833,Netherlands,57308
Weymouth,42.1981,-70.9466,United States,57300
Coruripe,-10.1258,-36.1758,Brazil,57294
Lake Havasu City,34.5006,-114.3113,United States,57294
Mācherla,16.48,79.43,India,57290
Boac,13.45,121.83,Philippines,57283
Gümüşhane,40.4597,39.4778,Turkey,57269
Bīmgal,18.7,78.4667,India,57262
Nova Esperança,-6.7333,15.9,Angola,57248
Içara,-28.7133,-49.3,Brazil,57247
Kandukūr,15.2167,79.9042,India,57246
Tres Arroyos,-38.3667,-60.2667,Argentina,57244
Saint-Hyacinthe,45.6167,-72.95,Canada,57239
Keonjhargarh,21.63,85.58,India,57232
Krymsk,44.9233,37.9806,Russia,57229
Riosucio,7.4406,-77.1189,Colombia,57220
Villa Hayes,-25.1,-57.5667,Paraguay,57217
Aldershot,51.2483,-0.7614,United Kingdom,57211
Bilhorod-Dnistrovskyi,46.1833,30.35,Ukraine,57210
Cupang,14.4315,121.0486,Philippines,57196
Alangalang,11.2061,124.8478,Philippines,57185
Samannūd,30.9667,31.25,Egypt,57177
Belize City,17.4986,-88.1886,Belize,57169
Bulungu,-4.55,18.6,Congo (Kinshasa),57168
Uson,12.2253,123.7834,Philippines,57166
Boufarik,36.5706,2.9108,Algeria,57162
Ping’an,36.502,102.1082,China,57152
Kollegāl,12.1539,77.101,India,57149
Cosamaloapan,18.3667,-95.8,Mexico,57147
Sarapiquí,10.4853,-83.9362,Costa Rica,57147
Moknine,35.6333,10.9,Tunisia,57111
Bel Air South,39.5022,-76.3113,United States,57109
Unjha,23.8,72.4,India,57108
Benslimane,33.6167,-7.1167,Morocco,57101
Uki,32.645,130.6864,Japan,57096
Nonoichi,36.5194,136.6098,Japan,57090
Moramanga,-18.9469,48.2303,Madagascar,57084
Fréjus,43.433,6.737,France,57082
Borūjen,31.9678,51.2894,Iran,57071
Devrek,41.2333,31.9667,Turkey,57069
Maun,-19.9833,23.4167,Botswana,57067
Fountainebleau,25.7723,-80.346,United States,57066
Wylie,33.0362,-96.5161,United States,57063
Mafeteng,-29.8167,27.25,Lesotho,57059
Bail-Hongal,15.8137,74.8589,India,57057
Jasaan,8.65,124.75,Philippines,57055
Shuya,56.85,41.3667,Russia,57039
Dehdasht,30.7953,50.5653,Iran,57036
Semara,26.7394,-11.6703,Morocco,57035
Alvarado,18.7811,-95.7572,Mexico,57035
Baden-Baden,48.7628,8.2408,Germany,57025
Lunglei,22.88,92.73,India,57011
Neryungri,56.6833,124.6667,Russia,57009
Minokamo,35.4402,137.0157,Japan,57007
Ipele,7.1333,5.6667,Nigeria,57000
Bura,3.1722,42.1411,Somalia,57000
Zushi,35.2833,139.5833,Japan,56996
Talagante,-33.6667,-70.8667,Chile,56990
Rîbniţa,47.7667,29,Moldova,56988
Nasīrabād,26.3,74.73,India,56980
Cerignola,41.2667,15.9,Italy,56978
Ródos,36.4412,28.2225,Greece,56969
Madison,34.7114,-86.7626,United States,56967
Cuemba,-12.15,18.0833,Angola,56963
Tezonapa,18.6,-96.6833,Mexico,56956
Ushuaia,-54.8019,-68.3031,Argentina,56956
Ban Bang Kaeo,13.6371,100.6636,Thailand,56949
Cachoeiras de Macacu,-22.4628,-42.6528,Brazil,56943
Machang,5.7608,102.2158,Malaysia,56937
Huaixiangcun,22.4817,111.0542,China,56936
San Luis,18.55,-69.7,Dominican Republic,56933
Kędzierzyn-Koźle,50.35,18.2,Poland,56931
Puerto Boyacá,6,-74.4167,Colombia,56930
Azzaba,36.7333,7.1,Algeria,56922
Hagonoy,6.68,125.3,Philippines,56919
Mora,10.0088,-84.0216,Costa Rica,56919
Xam Nua,20.415,104.048,Laos,56900
Limbang,4.7592,115.0067,Malaysia,56900
Dina,33.0283,73.6011,Pakistan,56886
Gūdalur,11.5014,76.4916,India,56886
Ipirá,-12.1583,-39.7389,Brazil,56873
Caacupé,-25.3861,-57.1408,Paraguay,56864
Miragoâne,18.4458,-73.09,Haiti,56864
Sāmalkot,17.0531,82.1695,India,56864
Karīmganj,24.87,92.35,India,56854
Brookhaven,33.8743,-84.3314,United States,56848
Acambay,19.9539,-99.8431,Mexico,56847
Santa Rosa,-3.4522,-79.9617,Ecuador,56842
Pinagkaisahan,14.5229,121.0555,Philippines,56835
Bobbili,18.5667,83.3667,India,56819
Irpin,50.5167,30.25,Ukraine,56806
Bebandem,-8.4046,115.5395,Indonesia,56800
Chinhoyi,-17.3497,30.1944,Zimbabwe,56794
Highland,34.1113,-117.165,United States,56789
Fussa,35.7333,139.3333,Japan,56786
Fountain Valley,33.7105,-117.9514,United States,56754
Bowmanville,43.9125,-78.6871,Canada,56742
Düziçi,37.2431,36.4567,Turkey,56724
Kālna,23.22,88.37,India,56722
Sattenapalle,16.3962,80.1497,India,56721
Tulcán,0.8117,-77.7186,Ecuador,56719
Al Hoceïma,35.2472,-3.9322,Morocco,56716
Lagonoy,13.7353,123.5208,Philippines,56714
Basey,11.2817,125.0683,Philippines,56685
Beauvais,49.4303,2.0952,France,56677
Kudamatsu,34.015,131.8703,Japan,56661
Pau d’Alho,-7.8969,-35.18,Brazil,56659
Hod HaSharon,32.15,34.8833,Israel,56659
Pirapora,-17.3478,-44.9436,Brazil,56640
Barabai,-2.5833,115.3833,Indonesia,56628
Muğla,37.2167,28.3667,Turkey,56619
Vrindāvan,27.58,77.7,India,56618
Chini,23.3916,113.0755,China,56609
Iskitim,54.64,83.3061,Russia,56602
Acámbaro,20.0361,-100.7314,Mexico,56597
Diglipur,13.2667,93,India,56597
Khāsh,28.22,61.2114,Iran,56584
Beni Enzar,35.2667,-2.9333,Morocco,56582
Den Helder,52.9333,4.75,Netherlands,56582
Forest,50.8131,4.3247,Belgium,56581
Macclesfield,53.25,-2.13,United Kingdom,56581
Pangantocan,7.8331,124.8294,Philippines,56580
Görlitz,51.1528,14.9872,Germany,56574
Wellingborough,52.3028,-0.6944,United Kingdom,56564
Tāybād,34.7408,60.7792,Iran,56562
Mafra,-26.1167,-49.8,Brazil,56561
Berwyn,41.8433,-87.7909,United States,56556
Ar Riqqah,29.1489,48.1057,Kuwait,56554
